kanji,story
一,"One down, 2041 to go. ;).","This one is too difficult to remember. If the other Kanji are this difficult, I'm giving up.","One Line to Rule Them All, One Way to Write it; One Stroke From Left to Right, and With a Pen Lift, Bind it."
器,Imagine four hungry mouths all sitting around the table. They are all banging their utensils on the table waiting for a big meal to be placed in the centre.,"Note: 器 by itself means container/caliber/vessel. And 食器 means eating utensils (""food container"", hehe).","Don't limit the meaning of utensil here to forks and knives. This kanji means any kind of gadget, device or instrument. You can use it with 具 (tool) to mean ""gadget"" 器具 (きぐ), with the kanji of music 楽 it becomes ""musical instrument"" (器楽 = きがく) and it can even mean ""talent"" or ""capacity"". My story: 4 MOUTHS with their utensils/instruments engaged in a BIG activity (either working on a BIG project, maybe singing in a BIG orchestra, or waiting for a BIG meal)."
臭,The ST. BERNARD DOG lifted his large NOSE high in the air to find out where the stinking smell comes from.,I have just done a big one. It's really stinking.,"In German there is the saying ""self praise stinks"" (Eigenlob stinkt). So, making yourself 自 look big 大 stinks."
嗅,Your mouth stinks: you need to sniff your breath.,"Smell. Mouth agape, nose in the air, a chihuahua smells some BBQ miles away. NOTE: Assigned keyword ""sniff"" in RTK Newly Approved General Use Kanji Supplement.","Interesting fact: when dogs sniff something interesting, they use both their nose (held high above them), and their mouth too. There's an organ linking the nose and mouth called the vomeronasal organ that picks up extra scents. So think of this next time you see a dog sniffing with mouth slightly open (chihuahua or st Bernard, depending on if you use the unofficial simplified character without dot or not). Of course if the thing is really stinking 臭 (#128), the dog may only need to use its nose alone!"
妙,Exquisite women are few and far between.,"A geisha is an exquisite and delicate (another meaning of this kanji) women, however, even in the past there was only few of them.",Exquisite women are few.
省,You focus by concentrating your eye on fewer objects.,"To remember the order: When focusing, keep a few things your TOP priority, so only they come UNDER your sight.",Few distractions will catch your eye if you have FOCUS.
厚,The thick cliff walls protected the children from the sun.,"In Sparta we throw our Children over a Cliff. Under the Sun, they fight other Children. In the end, if they survive, they sure have thick skin.","The japanese word for thick is atsui which is a homophone for hot, a kid under a cliff with the sun baking down on him would be hot indeed, especially if he had a thick sweater on. An atsui seetaa under the atsui sun."
奇,Imagine a ST. BERNARD DOG carrying a CAN instead of a barrel in rescue missions. How strange!,"A dog that can do the ""Can Can"" would be a STRANGE sight indeed.",Big things can be strange.
川,So as not to confuse this with 河 (#157) think of streamers falling down.,"There are three default I/O Streams in UNIX, stdin, stdout, and stderr.",Three streams grouped together might cause a flood!
州,There were 3 little islands in the stream who all decided to set themselves up as independent states.,"シュウ　The original meaning of this character was ""sandbar"", and for me this conjures up images of the Mississippi River, which is very wide with many sandbars and which was used to define the borders in ten American states. Picture Huck Finn and Tom Sawyer floating by state after state as they adventure down the mighty Mississippi, occasionally beaching their raft on sandbars.",All powerful STATES grew from a few small settlements along RIVER.
順,"""Obey, Obey!"" says the brain-washing scientist as he sends a stream of orders to fill your head.","In Japan, obeying means following the stream of collective opinion BEFORE using your own head.",Obey the orders streaming down from head office.
水,"The kanji for water is an abstract primitive itself, so unless one is willing to break down its etymological development, it should just simply be memorized by strokes; constructing a story is not necessarily useful unless it strongly denotes its shape (I find that Heisig's story doesn't do this).","For those having issues with this* ""A 7K foot pool of water"" Notice it looks like a 7, and a K. Might have to practice writing it a few times.",When you squeeze a stream you get water.
氷,Icicles start with 1 frozen drop of water.,A drop in temperature turns water into an icicle.,"This character and 永 (#139) are somewhat confusing. If you can remember how they're written but often take one for the other, imagine that eternity is above water and all the other elements, while icicles are to the side of a half-frozen waterfall."
永,It would take an eternity to count all the drops of water.,"It takes but one drop from the most special water: the fountain of youth (and it is written in a special way to with an extra horizontal line on the top) to live for an eternity. (In order to remember that the drop is at the top, think that the drop must come from the topmost water in order for its effects to be true).",What is your life? A DROP of water on a mini FLOOR when compared to ETERNITY!
泉,"White is a symbol of purety, so white water is pure water, the precise definition of spring water.","Perhaps the most common appearance of this kanji is in the word 温泉 (おんせん, onsen), a Japanese hot spring. The kanji is an excellent image of someone enjoying a Japanese hot spring: a little white towel on top, water below. (This helps keep all associations: spring, little and onsen).","A fresh SPRING has plenty of frothy white bubbles in its crisp, cool water."
腺,A body part that acts like a spring for hormones is a gland.,"Sweat and saliva glands act like a spring for fluids. (combining everyone's stories in one mnemonic, thanks mantixen).","Part of your body that springs out sweat, your sweat glands."
原,Follow the springs down the cliff and you will find a nice meadow.,"Forget about ""spring"" because the water primitive is abbreviated to ""little"". This is easy to forget by the time you've finished RTK1. Instead, imagine standing on an exceedingly high cliff. Not overlooking the sea, but overlooking meadows. And what on earth are those white little things? Wow, they're sheep! This cliff must be really high!","When in a meadow, the japanese girls who are white and small search for the shadow of a cliff to avoid taning."
願,Let's petition to save that beautiful MEADOW from overdevelopment by signing on this PAGE.,"Japanese hippies PETITION to save a meadow by getting people on the street to sign their page - as you pass by they call out: ""お願いします、おねがいします。”.","To save the meadow from development, a page of signatures was submitted as a petition."
泳,"If you don't know how to swim, you'll be in that water for eternity.",It'll seem like an eternity in the water if you cannot swim.,There's enough water in the world to swim for eternity.
沼,A marsh is where water is seduced into the ground.,"The marshlands near Mordor seduce Frodo into gazing upon them, and he falls into the water--splash!",The marsh looks just like dry land. Really it's water and it seduces people to step onto it and they sink to their death.
沖,Open sea is a lot of water in the middle of nowhere.,Water in the middle of the ocean is referred to as open sea.,"Out in the water, in the middle of the ocean, is open sea with no land for miles and miles."
汎,"This is pan- as in the prefix meaning ""all"". I think of Pangea as being a mediocre continent with water covering the rest of the planet. This was before it broke up into the first-class, well-distributed continents we got now.","After Pan-Am crashed yet another plane into the water, their reputation dropped to mediocre.",Peter Pan is pretty mediocre in the water.
